PortCode,MajorPortCode,MajorPortName,CountyCode,PortName,DiscontinuedDate
656,6,MORRO BAY,15,TAFT,01/01/1996
657,7,SANTA BARBARA,15,MOJAVE,01/01/1996
700,8,LOS ANGELES,99,LOS ANGELES AREA,01/01/1996
701,8,LOS ANGELES,19,GLENDALE,01/01/1996
702,8,LOS ANGELES,19,SOUTH GATE,01/01/1996
703,8,LOS ANGELES,19,LANCASTER,01/01/1996
704,8,LOS ANGELES,30,FOUNTAIN VALLEY,01/01/1996
705,8,LOS ANGELES,19,GRANADA HILLS,01/01/1996
706,8,LOS ANGELES,19,RANCHO PALOS VERDES,01/01/1996
707,8,LOS ANGELES,30,WESTMINISTER,01/01/1996
708,8,LOS ANGELES,19,COVINA,01/01/1996
709,8,LOS ANGELES,19,EL SEGUNDO,01/01/1996
710,8,LOS ANGELES,19,HAWAIIAN GARDENS,01/01/1996
711,8,LOS ANGELES,19,CARSON,01/01/1996
712,8,LOS ANGELES,30,MISSION VIEJO,01/01/1996
721,8,LOS ANGELES,30,ANAHEIM,01/01/1996
724,8,LOS ANGELES,19,BELL GARDENS,01/01/1996
726,8,LOS ANGELES,30,ORANGE,01/01/1996
727,8,LOS ANGELES,19,WHITTIER,01/01/1996
728,8,LOS ANGELES,19,NORWALK,01/01/1996
729,8,LOS ANGELES,19,MALIBU,
730,8,LOS ANGELES,19,TORRANCE,01/01/1996
733,8,LOS ANGELES,19,CATALINA ISLAND,
734,8,LOS ANGELES,37,SAN CLEMENTE ISLAND,01/01/1996
736,8,LOS ANGELES,30,LOS ALAMITOS,01/01/1996
738,8,LOS ANGELES,19,PACIFIC PALISADES,01/01/1996
739,8,LOS ANGELES,30,SUNSET BEACH,01/01/1996
741,8,LOS ANGELES,19,AVALON,
742,8,LOS ANGELES,19,REDONDO BEACH,
743,8,LOS ANGELES,19,LONG BEACH,
744,8,LOS ANGELES,19,LOS ANGELES,
745,8,LOS ANGELES,19,TERMINAL ISLAND,
746,8,LOS ANGELES,19,WILMINGTON,
747,8,LOS ANGELES,19,SANTA MONICA,
748,8,LOS ANGELES,30,NEWPORT BEACH,
749,8,LOS ANGELES,30,LAGUNA,01/01/1996
750,8,LOS ANGELES,19,WEST LOS ANGELES,01/01/1996
751,8,LOS ANGELES,19,TOPANGA CANYON,01/01/1996
752,8,LOS ANGELES,19,OCEAN PARK,01/01/1996
753,8,LOS ANGELES,19,VENICE,01/01/1996
754,8,LOS ANGELES,33,ELSINORE,01/01/1996
755,8,LOS ANGELES,33,NORCO,01/01/1996
756,8,LOS ANGELES,19,HERMOSA BEACH,
757,8,LOS ANGELES,19,POINT DUME,01/01/1996
759,8,LOS ANGELES,30,COSTA MESA,01/01/1996
760,8,LOS ANGELES,30,SEAL BEACH,
762,8,LOS ANGELES,19,MANHATTAN BEACH,01/01/1996
763,8,LOS ANGELES,19,ALHAMBRA,01/01/1996
764,8,LOS ANGELES,30,BALBOA,
765,8,LOS ANGELES,30,CORONA DEL MAR,01/01/1996
766,8,LOS ANGELES,30,SAN CLEMENTE,01/01/1996
767,8,LOS ANGELES,30,DANA POINT,
768,8,LOS ANGELES,30,HUNTINGTON BEACH,
769,8,LOS ANGELES,33,RIVERSIDE,01/01/1996
770,8,LOS ANGELES,19,SAN PEDRO,
771,8,LOS ANGELES,30,SANTA ANA,01/01/1996
772,8,LOS ANGELES,30,CAPISTRANO,01/01/1996
773,8,LOS ANGELES,19,GARDENA,01/01/1996
774,8,LOS ANGELES,19,INGLEWOOD,01/01/1996
775,8,LOS ANGELES,33,BEAUMONT,01/01/1996
776,8,LOS ANGELES,19,MARINA DEL REY,
777,8,LOS ANGELES,19,LYNWOOD,01/01/1996
778,8,LOS ANGELES,19,PARAMOUNT,01/01/1996
779,8,LOS ANGELES,19,HARBOR CITY,01/01/1996
780,8,LOS ANGELES,30,FULLERTON,01/01/1996
781,8,LOS ANGELES,19,WALNUT,01/01/1996
782,8,LOS ANGELES,36,VICTORVILLE,01/01/1996
783,8,LOS ANGELES,14,BISHOP,01/01/1996
784,8,LOS ANGELES,36,SAN BERNARDINO,01/01/1996
785,8,LOS ANGELES,19,VERNON,01/01/1996
787,8,LOS ANGELES,56,CAMARILLO,01/01/1996
788,8,LOS ANGELES,36,NEWBERRY SPRINGS,01/01/1996
789,8,LOS ANGELES,36,UPLAND,01/01/1996
790,8,LOS ANGELES,30,IRVINE,01/01/1996
791,8,LOS ANGELES,36,YUCCA VALLEY,01/01/1996
792,8,LOS ANGELES,36,BLOOMINGTON,01/01/1996
794,8,LOS ANGELES,19,LA CANADA,01/01/1996
796,8,LOS ANGELES,19,PASADENA,01/01/1996
799,8,LOS ANGELES,26,LAKE CROWLEY,01/01/1996
800,9,SAN DIEGO,99,SAN DIEGO AREA,01/01/1996
801,6,MORRO BAY,56,THOUSAND OAKS,01/01/1996
